time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
1.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
2.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
3.500 0.0000 0.3267 0.0067 0.6667 0.0000 0.0000 0.0000 50
4.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
5.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
6.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
7.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
8.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
9.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
10.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
11.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
12.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
13.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
14.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
15.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
16.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
17.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
18.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
19.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
20.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
21.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
22.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
23.500 0.0000 0.3200 0.0133 0.6667 0.0000 0.0000 0.0000 50
24.500 0.0000 0.3367 0.0000 0.6633 0.0000 0.0000 0.0000 50
25.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
26.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
27.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
28.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
29.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
30.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
31.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
32.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
33.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
34.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
35.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
36.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
37.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
38.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
39.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
40.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
41.500 0.0000 0.3333 0.0000 0.6667 0.0000 0.0000 0.0000 50
